20cm,30cm,40cm,50cm,60cm
560,674,795,886,965
556,689,795,892,977
556,622,795,885,975
544,689,793,888,973
562,689,808,886,980
558,693,798,887,976
556,686,795,886,974
561,690,797,886,977
553,685,801,890,975
555,690,799,889,977
